# monthly mean of baseline data from 1993/08 to 2023/12; created: 29-Jan-2025
# comment: AGAGE GCMD measurements. Output from GCWerks. See Prinn et al., ESSD (2018), https://doi.org/10.5194/essd-10-985-2018
# data_owner_email: paul.krummel@csiro.au
# data_owner: Paul Krummel
# station_long_name: Kennaook/Cape Grim, Tasmania, Australia
# inlet_base_elevation_masl: 94.000000
# inlet_latitude: -40.683333
# inlet_longitude: 144.689444
# inlet_comment: multiple inlets have been used at the station, all in close proximity to each other.
# data_dir: /agage/capegrim
# species: cfc-11
# calibration_scale: SIO-05
# units: ppt
# file_created: 2024-11-11 07:14:17
# 
# CREDIT FOR USE: This is a formal notification for data users. 
# For scientific purposes access to these data is unlimited and 
# provided without charge. By their use you accept that an offer 
# of co-authorship will be made through personal contact with the
# data providers or owners whenever substantial use is made of 
# their data. In all cases an acknowledgement must be made to the
# data providers or owners and the data centre when these data are
# used within a publication.
# 
# CONTACT POINT: paul.krummel@csiro.au; paul.fraser@csiro.au; raywang@eas.gatech.edu 
# 
# 1st column, time in farction of year
# 2nd column, year (YYYY)
# 3rd column, month (1 to 12)
# 4th column, mean (monthly mean value)
# 5th column, std. dev. (standard deviation of monthly mean)
# 6th column, numb (number of measurements for monthly mean)
#    time   year  month          mean     std. dev.    numb
 1996.125   1996      2       261.488         0.234     885
 1996.208   1996      3       261.519         0.308     841
 1996.292   1996      4       262.070         0.361     827
 1996.375   1996      5       262.827         0.316     834
 1996.458   1996      6       262.351         0.351     802
 1996.542   1996      7       262.214         0.260     902
 1996.625   1996      8       262.233         0.233     891
 1996.708   1996      9       262.151         0.255     832
 1996.792   1996     10       262.031         0.253     791
 1996.875   1996     11       261.824         0.225     836
 1996.958   1996     12       261.765         0.190     889
 1997.042   1997      1       261.690         0.218     625
 1997.125   1997      2       261.348         0.302     668
 1997.208   1997      3       261.203         0.281     771
 1997.292   1997      4       261.159         0.361     669
 1997.375   1997      5       261.049         0.323     688
 1997.458   1997      6       261.158         0.308     705
 1997.542   1997      7       261.115         0.276     858
 1997.625   1997      8       261.241         0.243     668
 1997.708   1997      9       261.202         0.246     799
 1997.792   1997     10       261.010         0.249     805
 1997.875   1997     11       260.892         0.214     844
 1997.958   1997     12       260.727         0.207     892
 1998.042   1998      1       260.481         0.247     872
 1998.125   1998      2       260.083         0.283     698
 1998.208   1998      3       259.815         0.345     463
 1998.292   1998      4       259.621         0.297     754
 1998.375   1998      5       259.630         0.321     764
 1998.458   1998      6       259.611         0.299     527
 1998.542   1998      7       259.846         0.277     751
 1998.625   1998      8       259.784         0.211     824
 1998.708   1998      9       259.766         0.287     714
 1998.792   1998     10       259.631         0.239     853
 1998.875   1998     11       259.537         0.193     819
 1998.958   1998     12       259.486         0.240     858
 1999.042   1999      1       259.368         0.257     774
 1999.125   1999      2       259.130         0.272     739
 1999.208   1999      3       258.740         0.316     785
 1999.292   1999      4       258.552         0.285     826
 1999.375   1999      5       258.433         0.343     759
 1999.458   1999      6       258.260         0.299     723
 1999.542   1999      7       258.327         0.283     796
 1999.625   1999      8       258.418         0.263     731
 1999.708   1999      9       258.255         0.225     759
 1999.792   1999     10       258.152         0.220     544
 1999.875   1999     11       258.059         0.179     206
 1999.958   1999     12       257.955         0.199     808
 2000.042   2000      1       257.793         0.197     882
 2000.125   2000      2       257.636         0.240     768
 2000.208   2000      3       257.318         0.250     856
 2000.292   2000      4       257.107         0.274     782
 2000.375   2000      5       256.995         0.330     848
 2000.458   2000      6       257.017         0.272     829
 2000.542   2000      7       257.006         0.251     752
 2000.625   2000      8       257.036         0.217     810
 2000.708   2000      9       256.936         0.281     739
 2000.792   2000     10       256.849         0.223     851
 2000.875   2000     11       256.873         0.205     721
 2000.958   2000     12       256.681         0.224     673
 2001.042   2001      1       256.277         0.309     865
 2001.125   2001      2       255.924         0.268     563
 2001.208   2001      3       255.639         0.267     879
 2001.292   2001      4       255.347         0.296     808
 2001.375   2001      5       255.405         0.294     865
 2001.458   2001      6       255.591         0.329     580
 2001.542   2001      7       255.746         0.260     772
 2001.625   2001      8       255.686         0.262     844
 2001.708   2001      9       255.610         0.242     768
 2001.792   2001     10       255.440         0.199     831
 2001.875   2001     11       255.268         0.193     929
 2001.958   2001     12       255.048         0.179     991
 2002.042   2002      1       254.844         0.193     812
 2002.125   2002      2       254.599         0.227     867
 2002.208   2002      3       254.332         0.276     852
 2002.292   2002      4       254.075         0.263     805
 2002.375   2002      5       253.820         0.288     847
 2002.458   2002      6       253.739         0.290     838
 2002.542   2002      7       253.700         0.250     878
 2002.625   2002      8       253.707         0.248     885
 2002.708   2002      9       253.511         0.283     844
 2002.792   2002     10       253.248         0.232     779
 2002.875   2002     11       253.012         0.222     827
 2002.958   2002     12       252.681         0.208     882
 2003.042   2003      1       252.241         0.246     923
 2003.125   2003      2       251.897         0.220     711
 2003.208   2003      3       251.697         0.255     782
 2003.292   2003      4       251.542         0.278     796
 2003.375   2003      5       251.697         0.262     810
 2003.458   2003      6       251.619         0.285     852
 2003.542   2003      7       251.939         0.390     864
 2003.625   2003      8       252.305         0.225     871
 2003.708   2003      9       252.192         0.211     883
 2003.792   2003     10       252.120         0.175     868
 2003.875   2003     11       252.013         0.170     808
 2003.958   2003     12       251.791         0.217     879
 2004.042   2004      1       251.426         0.211     798
 2004.125   2004      2       251.064         0.219     875
 2004.208   2004      3       250.722         0.272     875
 2004.292   2004      4       250.309         0.314     726
 2004.375   2004      5       250.158         0.298     799
 2004.458   2004      6       249.906         0.310     864
 2004.542   2004      7       249.865         0.254     884
 2004.625   2004      8       249.870         0.230     839
 2004.708   2004      9       249.702         0.216     867
 2004.792   2004     10       249.504         0.220     712
 2004.875   2004     11       249.320         0.187     911
 2004.958   2004     12       249.119         0.165     518
 2005.042   2005      1       248.798         0.220     907
 2005.125   2005      2       248.423         0.208     817
 2005.208   2005      3       248.073         0.268     845
 2005.292   2005      4       247.799         0.278     738
 2005.375   2005      5       247.736         0.284     790
 2005.458   2005      6       247.796         0.238     821
 2005.542   2005      7       247.683         0.248     843
 2005.625   2005      8       247.600         0.233     837
 2005.708   2005      9       247.478         0.210     824
 2005.792   2005     10       247.377         0.218     872
 2005.875   2005     11       247.283         0.221     720
 2005.958   2005     12       246.992         0.225     827
 2006.042   2006      1       246.682         0.256     924
 2006.125   2006      2       246.388         0.213     796
 2006.208   2006      3       246.339         0.245     790
 2006.292   2006      4       245.953         0.270     802
 2006.375   2006      5       245.768         0.285     870
 2006.458   2006      6       245.772         0.248     833
 2006.542   2006      7       245.694         0.223     773
 2006.625   2006      8       245.572         0.218     742
 2006.708   2006      9       245.432         0.212     793
 2006.792   2006     10       245.224         0.205     881
 2006.875   2006     11       245.432         0.190     800
 2006.958   2006     12       245.266         0.183     731
 2007.042   2007      1       244.976         0.214     897
 2007.125   2007      2       244.619         0.206     738
 2007.208   2007      3       244.190         0.266     835
 2007.292   2007      4       243.853         0.272     785
 2007.375   2007      5       243.608         0.320     701
 2007.458   2007      6       243.557         0.232     844
 2007.542   2007      7       243.609         0.263     830
 2007.625   2007      8       243.862         0.213     818
 2007.708   2007      9       243.754         0.195     835
 2007.792   2007     10       243.647         0.175     879
 2007.875   2007     11       243.531         0.178     865
 2007.958   2007     12       243.301         0.178     864
 2008.042   2008      1       243.018         0.194     904
 2008.125   2008      2       242.818         0.212     805
 2008.208   2008      3       242.365         0.268     778
 2008.292   2008      4       242.115         0.270     806
 2008.375   2008      5       242.091         0.337     738
 2008.458   2008      6       242.254         0.297     798
 2008.542   2008      7       242.035         0.221     878
 2008.625   2008      8       241.913         0.198     869
 2008.708   2008      9       241.777         0.212     823
 2008.792   2008     10       241.726         0.195     875
 2008.875   2008     11       241.530         0.185     820
 2008.958   2008     12       241.366         0.175     900
 2009.042   2009      1       241.154         0.198     795
 2009.125   2009      2       240.916         0.203     742
 2009.208   2009      3       240.479         0.273     847
 2009.292   2009      4       240.236         0.333     745
 2009.375   2009      5       240.072         0.319     812
 2009.458   2009      6       240.104         0.279     773
 2009.542   2009      7       239.900         0.235     594
 2009.625   2009      8       239.935         0.310     270
 2009.708   2009      9       239.911         0.231     464
 2009.792   2009     10       239.816         0.168     951
 2009.875   2009     11       239.847         0.223     325
 2009.958   2009     12       239.770         0.196     921
 2010.042   2010      1       239.498         0.209     919
 2010.125   2010      2       239.218         0.262     721
 2010.208   2010      3       238.915         0.297     809
 2010.292   2010      4       238.703         0.294     731
 2010.375   2010      5       238.519         0.262     908
 2010.458   2010      6       238.447         0.232     829
 2010.542   2010      7       238.403         0.204     847
 2010.625   2010      8       238.459         0.206     866
 2010.708   2010      9       238.179         0.219     885
 2010.792   2010     10       237.897         0.235     865
 2010.875   2010     11       237.388         0.213     881
 2010.958   2010     12       237.198         0.220     918
 2011.042   2011      1       236.981         0.220     926
 2011.125   2011      2       236.785         0.212     840
 2011.208   2011      3       236.470         0.262     944
 2011.292   2011      4       236.287         0.288     784
 2011.375   2011      5       236.008         0.267     885
 2011.458   2011      6       235.747         0.304     726
 2011.542   2011      7       235.647         0.251     892
 2011.625   2011      8       235.732         0.232     851
 2011.708   2011      9       235.546         0.222     841
 2011.792   2011     10       235.408         0.194     905
 2011.875   2011     11       235.225         0.224     884
 2011.958   2011     12       235.013         0.168     588
 2012.042   2012      1           NaN           NaN       0
 2012.125   2012      2       234.991         0.186     548
 2012.208   2012      3       234.876         0.263     896
 2012.292   2012      4       234.600         0.289     708
 2012.375   2012      5       234.520         0.276     909
 2012.458   2012      6       234.471         0.226     630
 2012.542   2012      7       234.533         0.187     391
 2012.625   2012      8       234.359         0.231     916
 2012.708   2012      9       234.232         0.216     698
 2012.792   2012     10       234.040         0.205     638
 2012.875   2012     11       233.803         0.178     888
 2012.958   2012     12       233.532         0.237     910
 2013.042   2013      1       233.124         0.218     920
 2013.125   2013      2       232.844         0.266     779
 2013.208   2013      3       232.686         0.328     698
 2013.292   2013      4       232.362         0.300     618
 2013.375   2013      5       232.422         0.295     834
 2013.458   2013      6       232.385         0.258     779
 2013.542   2013      7       232.406         0.248     848
 2013.625   2013      8       232.220         0.246     767
 2013.708   2013      9       232.179         0.231     758
 2013.792   2013     10       232.122         0.231     825
 2013.875   2013     11       231.944         0.195     842
 2013.958   2013     12       231.735         0.230     784
 2014.042   2014      1       231.426         0.250     880
 2014.125   2014      2       231.183         0.254     780
 2014.208   2014      3       230.980         0.264     793
 2014.292   2014      4       230.571         0.300     805
 2014.375   2014      5       230.621         0.317     760
 2014.458   2014      6       230.639         0.270     761
 2014.542   2014      7       230.778         0.293     892
 2014.625   2014      8       230.465         0.296     836
 2014.708   2014      9       230.187         0.214     753
 2014.792   2014     10       230.113         0.233     884
 2014.875   2014     11       229.981         0.222     788
 2014.958   2014     12       229.895         0.207     813
 2015.042   2015      1       229.677         0.232     943
 2015.125   2015      2       229.446         0.206     516
 2015.208   2015      3       229.221         0.226     794
 2015.292   2015      4       229.268         0.223     911
 2015.375   2015      5       229.217         0.302     700
 2015.458   2015      6       229.112         0.279     787
 2015.542   2015      7       229.141         0.229     839
 2015.625   2015      8       229.077         0.203     888
 2015.708   2015      9       229.071         0.205     873
 2015.792   2015     10       228.946         0.216     886
 2015.875   2015     11       228.829         0.197     831
 2015.958   2015     12       228.706         0.185     837
 2016.042   2016      1       228.480         0.226     917
 2016.125   2016      2       228.299         0.187     815
 2016.208   2016      3       228.003         0.242     941
 2016.292   2016      4       227.737         0.280     793
 2016.375   2016      5       227.422         0.291     872
 2016.458   2016      6       227.395         0.236     800
 2016.542   2016      7       227.549         0.302     838
 2016.625   2016      8       227.631         0.212     831
 2016.708   2016      9       227.556         0.200     769
 2016.792   2016     10       227.414         0.216     858
 2016.875   2016     11       227.324         0.293     822
 2016.958   2016     12       227.027         0.205     884
 2017.042   2017      1       226.799         0.208     820
 2017.125   2017      2       226.413         0.199     758
 2017.208   2017      3       226.278         0.280     727
 2017.292   2017      4       226.342         0.293     727
 2017.375   2017      5       226.258         0.257     814
 2017.458   2017      6       226.365         0.250     834
 2017.542   2017      7       226.349         0.195     883
 2017.625   2017      8       226.424         0.240     877
 2017.708   2017      9       226.494         0.229     831
 2017.792   2017     10       226.623         0.204     872
 2017.875   2017     11       226.458         0.181     856
 2017.958   2017     12       226.337         0.204     901
 2018.042   2018      1       226.123         0.215     832
 2018.125   2018      2       225.873         0.234     799
 2018.208   2018      3       225.896         0.179     202
 2018.292   2018      4       225.594         0.270     688
 2018.375   2018      5       225.561         0.272     814
 2018.458   2018      6       225.503         0.204     794
 2018.542   2018      7       225.626         0.271     723
 2018.625   2018      8       225.608         0.209     857
 2018.708   2018      9       225.670         0.193     859
 2018.792   2018     10       225.614         0.189     914
 2018.875   2018     11       225.568         0.195     792
 2018.958   2018     12       225.521         0.209     879
 2019.042   2019      1       225.289         0.214     846
 2019.125   2019      2       224.992         0.232     735
 2019.208   2019      3       224.744         0.264     823
 2019.292   2019      4       224.389         0.271     802
 2019.375   2019      5       224.439         0.286     841
 2019.458   2019      6       224.381         0.290     731
 2019.542   2019      7       224.348         0.243     891
 2019.625   2019      8       224.333         0.212     878
 2019.708   2019      9       224.167         0.169     871
 2019.792   2019     10       224.054         0.174     912
 2019.875   2019     11       223.874         0.202     850
 2019.958   2019     12       223.626         0.194     908
 2020.042   2020      1       223.308         0.211     860
 2020.125   2020      2       222.992         0.192     691
 2020.208   2020      3       222.722         0.225     907
 2020.292   2020      4       222.463         0.245     849
 2020.375   2020      5       222.413         0.190     834
 2020.458   2020      6       222.409         0.211     860
 2020.542   2020      7       222.573         0.231     749
 2020.625   2020      8       222.497         0.200     803
 2020.708   2020      9       222.319         0.194     748
 2020.792   2020     10       222.143         0.181     882
 2020.875   2020     11       221.960         0.190     809
 2020.958   2020     12       221.698         0.180     901
 2021.042   2021      1       221.521         0.183     920
 2021.125   2021      2       221.270         0.186     806
 2021.208   2021      3       221.060         0.196     884
 2021.292   2021      4       220.812         0.254     848
 2021.375   2021      5       220.507         0.289     872
 2021.458   2021      6       220.416         0.207     854
 2021.542   2021      7       220.322         0.204     890
 2021.625   2021      8       220.295         0.228     880
 2021.708   2021      9       220.140         0.201     897
 2021.792   2021     10       220.013         0.169     887
 2021.875   2021     11       219.866         0.173     840
 2021.958   2021     12       219.707         0.162     872
 2022.042   2022      1       219.556         0.166     863
 2022.125   2022      2       219.294         0.195     764
 2022.208   2022      3       218.993         0.223     903
 2022.292   2022      4       218.715         0.213     826
 2022.375   2022      5       218.484         0.232     768
 2022.458   2022      6       218.389         0.234     725
 2022.542   2022      7       218.211         0.228     822
 2022.625   2022      8       217.836         0.178     628
 2022.708   2022      9       217.693         0.179     901
 2022.792   2022     10       217.446         0.161     922
 2022.875   2022     11       217.267         0.184     857
 2022.958   2022     12       217.076         0.187     872
 2023.042   2023      1       216.901         0.181     863
 2023.125   2023      2       216.602         0.223     814
 2023.208   2023      3       216.281         0.234     896
 2023.292   2023      4       216.045         0.229     814
 2023.375   2023      5       215.800         0.238     881
 2023.458   2023      6       215.577         0.284     835
 2023.542   2023      7       215.544         0.318     884
 2023.625   2023      8       215.323         0.346     842
 2023.708   2023      9       215.140         0.276     923
 2023.792   2023     10       214.971         0.311     897
 2023.875   2023     11       214.870         0.291     638
 2023.958   2023     12       214.647         0.230     593
